query_number,query,intent_number,intent_text,cliff_threshold,retention_threshold,cutoff_rank,reason,cliff_percentage,score_retention,universe_size,tool_reduction
1,Send an email to Tom,1,Send an email to Tom,3,50,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,60,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,70,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,75,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,80,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,85,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,90,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,50,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,60,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,70,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,75,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,80,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,85,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,90,1,cliff,4.395604395604396,100.0,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,5,50,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,60,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,70,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,75,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,80,10,retention,,79.12087912087912,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,5,85,7,retention,,84.61538461538461,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,5,90,5,retention,,87.91208791208791,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,6,50,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,60,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,70,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
