query_number,query,intent_number,action,target,intent_text,rank,tool_name,score,normalized_rank,normalized_score,knee_distance,gap,gap_percent,is_knee
1,Send an email to Tom,1,send,an email,Send an email to Tom,1,gmail_tools_send_google_email,0.7109375,0.0,1.0,0.0,0.03125,4.395604395604396,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,2,outlook_mail_management_compose_email,0.6796875,0.008264462809917356,0.9248826291079812,0.047272144646894866,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,3,outlook_mail_management_send_email,0.67578125,0.01652892561983471,0.9154929577464789,0.048067787243969665,0.0234375,3.296703296703297,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,4,outlook_mail_management_reply_to_email,0.65234375,0.024793388429752067,0.8591549295774648,0.0820609313052017,0.01171875,1.6483516483516485,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,5,gmail_tools_reply_google_email,0.640625,0.03305785123966942,0.8309859154929577,0.0961355744879394,0.015625,2.197802197802198,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,6,gmail_tools_forward_google_email,0.625,0.04132231404958678,0.7934272300469484,0.11684971796350856,0.015625,2.197802197802198,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,7,gmail_tools_get_google_emails,0.609375,0.049586776859504134,0.755868544600939,0.13756386143907762,0.0078125,1.098901098901099,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,8,gmail_tools_delete_google_email,0.6015625,0.05785123966942149,0.7370892018779343,0.14499900432898394,0.01171875,1.6483516483516485,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,9,outlook_mail_management_forward_email,0.58984375,0.06611570247933884,0.7089201877934272,0.15907364751172165,0.01171875,1.6483516483516485,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,10,outlook_mail_management_find_email_address,0.578125,0.0743801652892562,0.6807511737089202,0.17314829069445933,0.015625,2.197802197802198,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,11,outlook_mail_management_search_outlook_mail,0.5625,0.08264462809917356,0.6431924882629108,0.19386243417002857,0.04296875,6.043956043956044,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,12,outlook_mail_management_get_email_messages,0.51953125,0.09090909090909091,0.539906103286385,0.26105307969541763,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,13,office_word_mcp_server_api_add_picture,0.515625,0.09917355371900827,0.5305164319248826,0.2618487222924925,0.01171875,1.6483516483516485,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,14,office_word_mcp_server_api_convert_to_pdf,0.50390625,0.10743801652892562,0.5023474178403756,0.2759233654752302,0.005859375,0.8241758241758242,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,15,office_word_mcp_server_api_add_table,0.498046875,0.11570247933884298,0.48826291079812206,0.28003875821872076,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,16,carrot_mcp_server_api_create_employee,0.494140625,0.12396694214876033,0.4788732394366197,0.28083440081579564,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,17,sharepoint_tools_create_txt_file_in_sharepoint,0.490234375,0.1322314049586777,0.4694835680751174,0.28163004341287046,0.0,0.0,True
1,Send an email to Tom,1,send,an email,Send an email to Tom,18,office_word_mcp_server_api_add_heading,0.490234375,0.14049586776859505,0.4694835680751174,0.2757861857171139,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,19,office_word_mcp_server_api_add_paragraph,0.490234375,0.1487603305785124,0.4694835680751174,0.2699423280213572,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,20,office_word_mcp_server_api_create_word_document,0.486328125,0.15702479338842976,0.460093896713615,0.2707379706184321,0.0078125,1.098901098901099,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,21,carrot_mcp_server_api_update_employee,0.478515625,0.1652892561983471,0.4413145539906103,0.27817311350833834,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,22,outlook_mail_management_delete_email_message,0.478515625,0.17355371900826447,0.4413145539906103,0.27232925581258177,0.005859375,0.8241758241758242,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,23,office_word_mcp_server_api_add_page_break,0.47265625,0.18181818181818182,0.4272300469483568,0.2764446485560723,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,24,railway_tools_project_environments,0.47265625,0.19008264462809918,0.4272300469483568,0.27060079086031574,0.005859375,0.8241758241758242,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,25,railway_tools_project_info,0.466796875,0.19834710743801653,0.4131455399061033,0.27471618360380634,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,26,office_word_mcp_server_api_search_replace,0.46484375,0.2066115702479339,0.4084507042253521,0.27219207605446544,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,27,project_management_tools_export_sprint_to_sharepoint,0.462890625,0.21487603305785125,0.40375586854460094,0.26966796850512453,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,28,office_word_mcp_server_api_find_text_in_document,0.462890625,0.2231404958677686,0.40375586854460094,0.26382411080936796,0.013671875,1.9230769230769231,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,29,carrot_mcp_server_api_create_leave_application,0.44921875,0.23140495867768596,0.37089201877934275,0.28121850413852134,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,30,carrot_mcp_server_api_submit_leave_application,0.44921875,0.2396694214876033,0.37089201877934275,0.27537464644276477,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,31,office_word_mcp_server_api_copy_document,0.44921875,0.24793388429752067,0.37089201877934275,0.26953078874700814,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,32,railway_tools_project_list,0.4453125,0.256198347107438,0.3615023474178404,0.2703264313440831,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,33,carrot_mcp_server_api_get_employee,0.4453125,0.2644628099173554,0.3615023474178404,0.26448257364832645,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,34,office_word_mcp_server_api_get_document_text,0.4453125,0.2727272727272727,0.3615023474178404,0.2586387159525699,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,35,railway_tools_service_list,0.443359375,0.2809917355371901,0.3568075117370892,0.25611460840322897,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,36,railway_tools_project_create,0.44140625,0.2892561983471074,0.352112676056338,0.2535905008538882,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,37,carrot_mcp_server_api_list_employees,0.44140625,0.2975206611570248,0.352112676056338,0.24774664315813152,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,38,office_word_mcp_server_api_get_document_outline,0.44140625,0.30578512396694213,0.352112676056338,0.24190278546237495,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,39,office_word_mcp_server_api_get_document_xml,0.44140625,0.3140495867768595,0.352112676056338,0.23605892776661833,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,40,office_word_mcp_server_api_get_paragraph_text_from_document,0.439453125,0.32231404958677684,0.3474178403755869,0.2335348202172775,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,41,office_word_mcp_server_api_delete_document,0.439453125,0.3305785123966942,0.3474178403755869,0.22769096252152085,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,42,office_word_mcp_server_api_delete_paragraph,0.439453125,0.33884297520661155,0.3474178403755869,0.22184710482576428,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,43,office_word_mcp_server_api_get_document_info,0.435546875,0.34710743801652894,0.3380281690140845,0.22264274742283915,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,44,railway_tools_project_delete,0.43359375,0.35537190082644626,0.3333333333333333,0.22011863987349828,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,45,railway_tools_service_restart,0.431640625,0.36363636363636365,0.3286384976525822,0.2175945323241574,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,46,railway_tools_service_create_from_repo,0.427734375,0.371900826446281,0.3192488262910798,0.2183901749212322,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,47,carrot_mcp_server_api_hr_dashboard_summary,0.427734375,0.38016528925619836,0.3192488262910798,0.21254631722547562,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,48,railway_tools_service_info,0.423828125,0.3884297520661157,0.30985915492957744,0.2133419598225505,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,49,supabase_mcp_insert_table_data,0.423828125,0.39669421487603307,0.30985915492957744,0.20749810212679384,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,50,github_mcp_server_create_or_update_file,0.419921875,0.4049586776859504,0.3004694835680751,0.20829374472386872,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,51,project_management_tools_create_team,0.419921875,0.4132231404958678,0.3004694835680751,0.20244988702811206,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,52,railway_tools_database_list_types,0.41796875,0.4214876033057851,0.29577464788732394,0.19992577947877127,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,53,carrot_mcp_server_api_log_hours_entry,0.41796875,0.4297520661157025,0.29577464788732394,0.1940819217830147,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,54,carrot_mcp_server_api_update_leave_application,0.41796875,0.4380165289256198,0.29577464788732394,0.18823806408725813,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,55,office_word_mcp_server_api_merge_doucments,0.41796875,0.4462809917355372,0.29577464788732394,0.18239420639150147,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,56,project_management_tools_list_work_items,0.41796875,0.45454545454545453,0.29577464788732394,0.1765503486957449,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,57,supabase_mcp_update_database_table_data,0.416015625,0.4628099173553719,0.29107981220657275,0.17402624114640403,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,58,project_management_tools_create_work_item,0.416015625,0.47107438016528924,0.29107981220657275,0.16818238345064745,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,59,quest_studio_file_storage_get_storage_usage,0.412109375,0.4793388429752066,0.28169014084507044,0.16897802604772225,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,60,project_management_tools_create_sprint,0.41015625,0.48760330578512395,0.27699530516431925,0.16645391849838143,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,61,project_management_tools_list_sprints,0.408203125,0.49586776859504134,0.27230046948356806,0.16392981094904047,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,62,github_mcp_server_create_repository,0.408203125,0.5041322314049587,0.27230046948356806,0.1580859532532839,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,63,quest_studio_file_storage_get_file_content,0.408203125,0.512396694214876,0.27230046948356806,0.15224209555752732,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,64,github_mcp_server_pull_request_read,0.40625,0.5206611570247934,0.2676056338028169,0.14971798800818645,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,65,railway_tools_service_update,0.404296875,0.5289256198347108,0.26291079812206575,0.14719388045884557,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,66,quest_studio_file_storage_delete_file,0.404296875,0.5371900826446281,0.26291079812206575,0.141350022763089,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,67,supabase_mcp_check_database_health,0.404296875,0.5454545454545454,0.26291079812206575,0.13550616506733243,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,68,railway_tools_service_create_from_image,0.40234375,0.5537190082644629,0.25821596244131456,0.13298205751799144,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,69,project_management_tools_get_team,0.400390625,0.5619834710743802,0.2535211267605634,0.13045794996865065,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,70,railway_tools_service_delete,0.400390625,0.5702479338842975,0.2535211267605634,0.12461409227289408,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,71,office_word_mcp_server_api_list_files,0.3984375,0.5785123966942148,0.24882629107981222,0.12208998472355319,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,72,github_mcp_server_get_commit,0.396484375,0.5867768595041323,0.24413145539906103,0.1195658771742123,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,73,github_mcp_server_create_pull_request,0.396484375,0.5950413223140496,0.24413145539906103,0.11372201947845573,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,74,web_search_tools_web_search,0.396484375,0.6033057851239669,0.24413145539906103,0.10787816178269916,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,75,project_management_tools_list_team_members,0.39453125,0.6115702479338843,0.23943661971830985,0.10535405423335827,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,76,carrot_mcp_server_api_list_leave_application,0.392578125,0.6198347107438017,0.2347417840375587,0.10282994668401739,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,77,project_management_tools_view_board,0.392578125,0.628099173553719,0.2347417840375587,0.09698608898826082,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,78,project_management_tools_list_teams,0.392578125,0.6363636363636364,0.2347417840375587,0.09114223129250425,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,79,project_management_tools_delete_team,0.392578125,0.6446280991735537,0.2347417840375587,0.08529837359674768,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,80,project_management_tools_get_sprint,0.390625,0.6528925619834711,0.2300469483568075,0.0827742660474067,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,81,carrot_mcp_server_api_work_hours_summary,0.390625,0.6611570247933884,0.2300469483568075,0.07693040835165013,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,82,project_management_tools_assign_work_item,0.390625,0.6694214876033058,0.2300469483568075,0.07108655065589356,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,83,project_management_tools_add_work_item_comment,0.388671875,0.6776859504132231,0.22535211267605634,0.06856244310655268,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,84,github_mcp_server_get_me,0.38671875,0.6859504132231405,0.22065727699530516,0.0660383355572118,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,85,github_mcp_server_search_repositories,0.38671875,0.6942148760330579,0.22065727699530516,0.06019447786145522,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,86,github_mcp_server_list_commits,0.38671875,0.7024793388429752,0.22065727699530516,0.05435062016569865,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,87,github_mcp_server_create_branch,0.384765625,0.7107438016528925,0.215962441314554,0.05182651261635777,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,88,sharepoint_tools_get_sharepoint_documents,0.384765625,0.71900826446281,0.215962441314554,0.045982654920601114,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,89,supabase_mcp_get_table_schema,0.3828125,0.7272727272727273,0.2112676056338028,0.04345854737126031,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,90,supabase_mcp_select_database_table_data,0.3828125,0.7355371900826446,0.2112676056338028,0.037614689675503736,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,91,project_management_tools_update_task_status,0.3828125,0.743801652892562,0.2112676056338028,0.031770831979747165,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,92,quest_studio_file_storage_update_file,0.3828125,0.7520661157024794,0.2112676056338028,0.025926974283990437,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,93,github_mcp_server_merge_pull_request,0.380859375,0.7603305785123967,0.20657276995305165,0.02340286673464963,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,94,project_management_tools_delete_sprint,0.380859375,0.768595041322314,0.20657276995305165,0.01755900903889306,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,95,project_management_tools_create_project,0.37890625,0.7768595041322314,0.20187793427230047,0.015034901489552173,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,96,project_management_tools_get_user_capacity,0.376953125,0.7851239669421488,0.19718309859154928,0.012510793940211287,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,97,github_mcp_server_get_file_contents,0.376953125,0.7933884297520661,0.19718309859154928,0.006666936244454715,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,98,github_mcp_server_push_files,0.375,0.8016528925619835,0.19248826291079812,0.00414282869511383,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,99,quest_studio_file_storage_get_file,0.375,0.8099173553719008,0.19248826291079812,0.0017010290006426634,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,100,project_management_tools_update_work_item,0.373046875,0.8181818181818182,0.18779342723004694,0.004225136549983628,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,101,project_management_tools_update_user_capacity,0.373046875,0.8264462809917356,0.18779342723004694,0.010068994245740199,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,102,github_mcp_server_list_pull_requests,0.373046875,0.8347107438016529,0.18779342723004694,0.01591285194149677,0.00390625,0.5494505494505495,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,103,project_management_tools_get_work_item_comments,0.369140625,0.8429752066115702,0.1784037558685446,0.015117209344421971,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,104,project_management_tools_delete_work_item,0.3671875,0.8512396694214877,0.17370892018779344,0.017641316893762936,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,105,github_mcp_server_update_pull_request,0.3671875,0.859504132231405,0.17370892018779344,0.023485174589519507,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,106,supabase_mcp_get_database_tables,0.3671875,0.8677685950413223,0.17370892018779344,0.02932903228527608,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,107,sharepoint_tools_get_sharepoint_sites,0.365234375,0.8760330578512396,0.16901408450704225,0.031853139834616885,0.0,0.0,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,108,railway_tools_volume_delete,0.365234375,0.8842975206611571,0.16901408450704225,0.037696997530373616,0.001953125,0.27472527472527475,False
1,Send an email to Tom,1,send,an email,Send an email to Tom,109,railway_tools_volume_update,0.36328125,0.8925619834710744,0.1643192488262911,0.04022110507971442,0.0,0.0,False
