query_number,query,intent_number,intent_text,peak_score,typical_gap,average_gap,strongest_rank,strongest_score,strongest_retention,strongest_gap,strongest_gap_percent,strongest_gap_strength
1,Send an email to Tom,1,Send an email to Tom,0.7109375,0.00390625,0.005943080357142857,11,0.5625,79.12087912087912,0.04296875,6.043956043956044,11.0
2,Reply to Tom's email,1,Reply to Tom 's email,0.72265625,0.001953125,0.005746150362318841,2,0.703125,97.2972972972973,0.078125,10.81081081081081,40.0
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,0.58984375,0.001953125,0.005123608732876712,1,0.58984375,100.0,0.06640625,11.258278145695364,34.0
4,Create a Word document,1,Create a Word document,0.74609375,0.001953125,0.00561242816091954,19,0.53125,71.20418848167539,0.033203125,4.450261780104712,17.0
5,Get the current sprint work items,1,Get the current sprint work items,0.73828125,0.00390625,0.0056890443313953485,121,0.28125,38.095238095238095,0.0322265625,4.365079365079365,8.25
6,Find the latest Nvidia news and email a summary to Tom,1,Find the latest Nvidia news,0.5625,0.001953125,0.004628057065217391,121,0.30859375,54.861111111111114,0.0654296875,11.631944444444445,33.5
6,Find the latest Nvidia news and email a summary to Tom,2,email a summary to Tom,0.69921875,0.00390625,0.005133928571428571,11,0.6015625,86.03351955307262,0.03125,4.4692737430167595,8.0
7,Get the current sprint work items and create a Word report,1,Get the current sprint work items,0.73828125,0.00390625,0.0056890443313953485,121,0.28125,38.095238095238095,0.0322265625,4.365079365079365,8.25
7,Get the current sprint work items and create a Word report,2,create a Word report,0.68359375,0.00390625,0.005833333333333334,4,0.671875,98.28571428571429,0.03125,4.571428571428571,8.0
8,"Search for Nvidia news, create a report, and email it to Tom",1,Search for Nvidia news,0.58203125,0.001953125,0.004745268485915493,121,0.3046875,52.348993288590606,0.0595703125,10.234899328859061,30.5
8,"Search for Nvidia news, create a report, and email it to Tom",2,create a report,0.546875,0.001953125,0.0038291529605263158,121,0.3203125,58.57142857142858,0.064453125,11.785714285714285,33.0
8,"Search for Nvidia news, create a report, and email it to Tom",3,email it to Tom,0.7109375,0.001953125,0.004821004746835443,11,0.60546875,85.16483516483517,0.0546875,7.6923076923076925,28.0
9,Schedule a meeting with Tom,1,Schedule a meeting with Tom,0.55859375,0.001953125,0.003840042372881356,120,0.36328125,65.03496503496503,0.0234375,4.195804195804196,12.0
10,Get my leave applications,1,Get my leave applications,0.8984375,0.00390625,0.007176598837209302,4,0.81640625,90.8695652173913,0.16015625,17.82608695652174,41.0
11,Submit a leave application,1,Submit a leave application,0.89453125,0.001953125,0.009444754464285714,4,0.765625,85.58951965065502,0.203125,22.707423580786028,104.0
12,Find a GitHub repository,1,Find a GitHub repository,0.82421875,0.00390625,0.007152660472972973,16,0.65234375,79.14691943127961,0.0703125,8.530805687203792,18.0
13,Get a file from SharePoint,1,Get a file from SharePoint,0.75390625,0.00390625,0.005809294871794872,1,0.75390625,100.0,0.03515625,4.66321243523316,9.0
14,Run a query against the database,1,Run a query against the database,0.5625,0.001953125,0.0048828125,2,0.5625,100.0,0.0390625,6.944444444444445,20.0
15,Check the deployment status on Railway,1,Check the deployment status on Railway,0.80078125,0.00390625,0.006581763698630137,10,0.6875,85.85365853658537,0.046875,5.853658536585367,12.0
