query_number,query,intent_number,action,target,intent_text,rank,tool_name,score,score_retention,next_score,gap,cliff_percentage
1,Send an email to Tom,1,send,an email,Send an email to Tom,1,gmail_tools_send_google_email,0.7109375,100.0,0.6796875,0.03125,4.395604395604396
1,Send an email to Tom,1,send,an email,Send an email to Tom,2,outlook_mail_management_compose_email,0.6796875,95.6043956043956,0.67578125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,3,outlook_mail_management_send_email,0.67578125,95.05494505494505,0.65234375,0.0234375,3.296703296703297
1,Send an email to Tom,1,send,an email,Send an email to Tom,4,outlook_mail_management_reply_to_email,0.65234375,91.75824175824175,0.640625,0.01171875,1.6483516483516485
1,Send an email to Tom,1,send,an email,Send an email to Tom,5,gmail_tools_reply_google_email,0.640625,90.10989010989012,0.625,0.015625,2.197802197802198
1,Send an email to Tom,1,send,an email,Send an email to Tom,6,gmail_tools_forward_google_email,0.625,87.91208791208791,0.609375,0.015625,2.197802197802198
1,Send an email to Tom,1,send,an email,Send an email to Tom,7,gmail_tools_get_google_emails,0.609375,85.71428571428571,0.6015625,0.0078125,1.098901098901099
1,Send an email to Tom,1,send,an email,Send an email to Tom,8,gmail_tools_delete_google_email,0.6015625,84.61538461538461,0.58984375,0.01171875,1.6483516483516485
1,Send an email to Tom,1,send,an email,Send an email to Tom,9,outlook_mail_management_forward_email,0.58984375,82.96703296703298,0.578125,0.01171875,1.6483516483516485
1,Send an email to Tom,1,send,an email,Send an email to Tom,10,outlook_mail_management_find_email_address,0.578125,81.31868131868131,0.5625,0.015625,2.197802197802198
1,Send an email to Tom,1,send,an email,Send an email to Tom,11,outlook_mail_management_search_outlook_mail,0.5625,79.12087912087912,0.51953125,0.04296875,6.043956043956044
1,Send an email to Tom,1,send,an email,Send an email to Tom,12,outlook_mail_management_get_email_messages,0.51953125,73.07692307692307,0.515625,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,13,office_word_mcp_server_api_add_picture,0.515625,72.52747252747253,0.50390625,0.01171875,1.6483516483516485
1,Send an email to Tom,1,send,an email,Send an email to Tom,14,office_word_mcp_server_api_convert_to_pdf,0.50390625,70.87912087912088,0.498046875,0.005859375,0.8241758241758242
1,Send an email to Tom,1,send,an email,Send an email to Tom,15,office_word_mcp_server_api_add_table,0.498046875,70.05494505494505,0.494140625,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,16,carrot_mcp_server_api_create_employee,0.494140625,69.5054945054945,0.490234375,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,17,sharepoint_tools_create_txt_file_in_sharepoint,0.490234375,68.95604395604396,0.490234375,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,18,office_word_mcp_server_api_add_heading,0.490234375,68.95604395604396,0.490234375,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,19,office_word_mcp_server_api_add_paragraph,0.490234375,68.95604395604396,0.486328125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,20,office_word_mcp_server_api_create_word_document,0.486328125,68.4065934065934,0.478515625,0.0078125,1.098901098901099
1,Send an email to Tom,1,send,an email,Send an email to Tom,21,carrot_mcp_server_api_update_employee,0.478515625,67.3076923076923,0.478515625,0.0,0.0
