query_number,query,intent_number,intent_text,cliff_threshold,retention_threshold,cutoff_rank,reason,cliff_percentage,score_retention,neighborhood_end,universe_size,tool_reduction
1,Send an email to Tom,1,Send an email to Tom,3,50,11,cliff,6.043956043956044,79.12087912087912,113,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,3,60,11,cliff,6.043956043956044,79.12087912087912,47,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,3,70,11,cliff,6.043956043956044,79.12087912087912,15,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,3,75,11,cliff,6.043956043956044,79.12087912087912,11,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,3,80,1,cliff,4.395604395604396,100.0,10,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,85,1,cliff,4.395604395604396,100.0,7,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,90,1,cliff,4.395604395604396,100.0,5,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,50,11,cliff,6.043956043956044,79.12087912087912,113,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,4,60,11,cliff,6.043956043956044,79.12087912087912,47,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,4,70,11,cliff,6.043956043956044,79.12087912087912,15,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,4,75,11,cliff,6.043956043956044,79.12087912087912,11,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,4,80,1,cliff,4.395604395604396,100.0,10,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,85,1,cliff,4.395604395604396,100.0,7,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,90,1,cliff,4.395604395604396,100.0,5,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,5,50,11,cliff,6.043956043956044,79.12087912087912,113,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,60,11,cliff,6.043956043956044,79.12087912087912,47,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,70,11,cliff,6.043956043956044,79.12087912087912,15,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,75,11,cliff,6.043956043956044,79.12087912087912,11,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,5,80,10,retention,,81.31868131868131,10,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,5,85,7,retention,,85.71428571428571,7,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,5,90,5,retention,,90.10989010989012,5,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,6,50,11,cliff,6.043956043956044,79.12087912087912,113,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,60,11,cliff,6.043956043956044,79.12087912087912,47,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,70,11,cliff,6.043956043956044,79.12087912087912,15,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,75,11,cliff,6.043956043956044,79.12087912087912,11,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,80,10,retention,,81.31868131868131,10,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,6,85,7,retention,,85.71428571428571,7,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,6,90,5,retention,,90.10989010989012,5,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,7,50,113,retention,,50.54945054945055,113,122,0.07377049180327866
1,Send an email to Tom,1,Send an email to Tom,7,60,47,retention,,60.16483516483516,47,122,0.6147540983606558
1,Send an email to Tom,1,Send an email to Tom,7,70,15,retention,,70.05494505494505,15,122,0.8770491803278688
1,Send an email to Tom,1,Send an email to Tom,7,75,11,retention,,79.12087912087912,11,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,7,80,10,retention,,81.31868131868131,10,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,7,85,7,retention,,85.71428571428571,7,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,7,90,5,retention,,90.10989010989012,5,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,8,50,113,retention,,50.54945054945055,113,122,0.07377049180327866
1,Send an email to Tom,1,Send an email to Tom,8,60,47,retention,,60.16483516483516,47,122,0.6147540983606558
